,A Mighty Blow,Angel Wars,Silver,GE,5,0,#,,C, $0.25 ,, $-   ,,,0,This card is worth 10/0 if a demon is in battle.,,,,,,,,
,Admiral,Angel Wars,Brown,EC,6,7,B,W,C, $0.25 ,, $-   ,,,0,Kingdoms of this World fortresses do not protect Evil Characters this turn.  You may release your demon from any evil fortress in play or set aside area and band it into battle.,,,,,,,,
,Angel Departed,Angel Wars,Pale Green,EE,0,5,R,,C, $0.25 ,, $-   ,,,0,Return a silver brigade Hero in battle to owner?s territory.  Cannot be prevented.,,,,,,,,
,Angry Travelers,Angel Wars,Pale Green,EE,0,0,Y,,C, $0.25 ,, $-   ,,,0,"Place this card on a Lost Soul.  If that Lost Soul is not rescued by the end of the current player?s next turn, discard this card to return the Lost Soul to the bottom of owner?s draw pile.",,,,,,,,
,Arianna,Angel Wars,Silver,GC,8,7,Pr,W,C, $0.25 ,, $-   ,,,0,Protect all cards in holder?s hand and draw pile from being discarded or removed by an evil special ability.,,,,,,,,
,Balance,Angel Wars,M u l t i,GE,2,2,D,,U, $6.00 ,, $-   ,,,0,"If two or more Heroes are in battle and if there are more evil cards in play than good cards, discard evil cards from play until the number of evil cards equals the number of good cards.",,,,,,,,
,Begging for Freedom,Angel Wars,Pale Green,EE,0,2,Pr,,C, $0.25 ,, $-   ,,,0,Interrupt the battle and reveal your hand to protect all demons in current battle from removal from the game and discard special abilities on good cards.,,,,,,,,
,Blade of Death,Angel Wars,Black,EE,3,2,D,W,C, $0.25 ,, $-   ,,,0,"If used by a demon, holder may discard this card to discard a good enhancement in play.",,,,,,,,
,Blast of Fire,Angel Wars,Brown,EE,3,0,D,,R, $2.00 ,, $-   ,,,0,"If used by a demon and Shield of Faith is not in battle, discard a Hero in battle. ",,,,,,,,
,Bound,Angel Wars,Silver,GE,0,0,S,,R, $2.00 ,, $-   ,,,0,Interrupt the last enhancement played this battle and set aside any demon in play for four turns.,,,,,,,,
,Burst of Light,Angel Wars,Silver,GE,2,1,Y,,R, $0.50 ,, $-   ,,,0,Shuffle one ?The Darkness? fortress and its contents into owner?s draw pile.,,,,,,,,
,Chamber of Angels,Angel Wars,Multi,Fortress,,,Y,,R, $5.00 ,, $-   ,,,0,"Set this fortress aside.  If holder?s angel is being discarded, place it here instead. After two turns, return Hero to the top of your draw pile.",,,,,,,,
,Commissioned,Angel Wars,Silver,GE,2,2,Se,,C, $0.25 ,, $-   ,,,0,Search opponent?s draw pile for a Lost Soul and place it in his Land of Bondage.,,,,,,,,
,Confused,Angel Wars,M u l t i,GE,3,3,D,,C, $0.25 ,, $-   ,,,0,Opponent must discard an evil card from hand or battle.,,,,,,,,
,Consumed by Doubt,Angel Wars,Pale Green,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Hero in battle.  While there, Hero?s special ability is negated.  If Hero returns to territory without making a successful rescue, that Hero cannot enter battle until this card is removed.",,,,,,,,
